rno,1,2,3,4,5,6,7,8
0808CS151120,8.19,8.77,8.41,8,8.44,8.13,8.38,9
0808CS151121,7.58,8.65,8.03,8.27,8,7.44,7.94,8.38
0808CS151122,7.58,8.12,7.87,7.88,7.75,7.56,7.69,8.56
0808CS151123,8.31,8.46,8.42,8.23,8.5,7.94,8.38,9.13
0808CS151124,8.31,8.77,8.4,7.92,8.25,8.25,8.31,9
0808CS151125,7.69,8.04,7.73,6.81,8.13,7.38,7.44,8.63
0808CS151126,8.5,8.35,7.99,7.58,7.63,7.69,7.69,8.5
0808CS151127,7.5,7.15,7.32,,,,,
0808CS151128,7.5,7.27,7.68,7.04,8.06,7.5,7.81,8.63
0808CS151129,7.92,8.31,7.78,7.12,7.31,7.13,8.13,8.56
0808CS151130,5.92,6.81,5.9,5,5.69,5.63,6.13,6.13
0808CS151131,6.92,7.5,7.16,6.31,7.19,6.94,7.38,7.88
0808CS151132,7.96,8.27,8.06,7.69,7.88,7.94,7.88,8.81
0808CS151133,6.81,6.5,7.57,7.31,7.31,8.06,8.25,8.81
0808CS151134,5.5,7.42,6.82,5.92,6.88,7.25,6.94,7.88
0808CS151135,8.12,8.92,7.94,7.12,7.88,7.44,7.75,8.38
0808CS151136,7,7.19,6.99,6.42,6.69,6.94,7.06,7.69
0808CS151137,7.65,8.38,8.16,8.12,7.81,8.25,8.19,8.75
0808CS151138,7.85,7.77,8,7.88,7.88,8.06,7.81,8.75
0808CS151139,8.69,8.08,7.64,6.69,8.06,7.06,7.13,7.81
0808CS151140,8.58,8.42,8.31,8.46,7.63,8.13,8,9
0808CS151141,8.62,8.96,8.34,8.12,8.31,8.13,7.75,8.5
0808CS151142,7.35,8.88,7.85,7.54,7.63,7.88,7.5,8.19
0808CS151143,4.27,3.88,4.07,,,,,
0808CS151144,8.54,8.81,8.2,8.15,8.13,8,7.31,8.5
0808CS151145,8.27,7.81,7.74,7.46,7.25,7.44,7.63,8.38
0808CS151146,5.65,5.54,6.13,4.15,7,6.75,6.25,7.63
0808CS151147,5.27,6.42,6.17,4.5,6.63,6,6.5,7.88
0808CS151148,6.65,7.46,7.08,6.69,7.44,6.94,6.69,7.69
0808CS151149,9.08,9.27,8.44,8.15,8.25,8.06,7.81,8.5
0808CS151150,7.42,7.19,7.5,6.92,7.38,7.56,7.44,8.63
0808CS151151,6.23,6.27,6.61,5.62,6.69,6.81,6.81,7.88
0808CS151152,7.81,8.62,8.72,8.58,8.88,8.88,8.81,9.5
0808CS151153,7.35,7.46,7.6,7.35,7.63,7.44,7.38,8.63
0808CS151154,7.85,8.04,7.5,6.85,7.25,7,7.38,8.19
0808CS151155,6.38,5.46,5.88,3.92,6.25,5.88,7.44,
0808CS151156,8,7.77,7.55,5.96,7.81,7.69,7.31,8.31
0808CS151157,5.23,4.19,3.91,1.5,3.94,4.69,,
0808CS151158,6.62,7.15,6.7,4.88,6.69,6.81,6.94,7.81
0808CS151159,7.54,8.5,7.85,6.88,7.63,7.94,8,8.5
0808CS151160,7.27,7.31,7.21,5.04,7.25,7.56,7.56,8.5
0808CS151161,8.12,8.23,8,7.38,7.88,7.88,7.94,8.63
0808CS151162,8.69,8.46,7.91,7.15,7.75,7.94,7.19,8.19
0808CS151163,7.27,7.96,7.85,7.96,8,7.88,7.56,8.38
0808CS151164,8.19,8.31,7.83,7.5,7.44,7.69,7.5,8.19
0808CS151165,6.73,7.12,6.7,5.92,7.31,4.94,7.06,7.88
0808CS151166,7.15,7.19,6.84,5.5,6.81,6.75,6.63,7.88
0808CS151167,8.73,9.35,8.42,8.23,8.19,7.94,8,8.56
0808CS151168,8.46,8.92,8.34,7.77,8.06,8.19,8.38,8.63
0808CS151169,7.81,8.46,8.14,8.19,8.06,7.88,7.75,8.88
0808CS151170,7.46,7.81,7.62,7.62,7.56,7.38,7.19,8.38
0808CS151171,6.04,7.12,7.07,6.88,6.75,6.88,7.5,8.38
0808CS151172,6.85,7.81,7.08,6.42,6.56,6.75,7.31,7.88
0808CS151174,7.77,7.92,7.67,7.31,7.44,7.31,7.69,8.25
0808CS151175,8.31,8.27,8.01,7.62,8.06,7.69,7.75,8.38
0808CS151176,7.77,7.38,7.36,6.62,7.06,7.13,7.25,8.31
0808CS151177,6.12,6.38,6.92,6.35,6.81,7.06,7.56,8.19
0808CS151178,7.31,6.92,7.13,6.12,7.19,7.56,7.06,7.81
0808CS151179,6.23,7.19,6.89,6.23,6.44,6.94,7.13,8.13
0808CS151180,7.38,7.96,7.49,6.5,7.19,7.5,7.75,8.19
0808CS151182,8.23,8.35,7.92,7.42,7.25,7.69,8.06,8.44
0808CS151183,7.73,8.31,7.77,7.42,7.94,7.63,7.38,8
0808CS151184,7.19,8.04,7.62,7.23,7.06,7.75,7.81,8.31
0808CS151185,8,8.27,7.71,7.54,7.06,7.5,7.75,7.88
0808CS151186,7.23,6.88,7.32,6.88,7.44,7.56,7.5,7.75
0808CS151187,6.46,7.23,7.18,6.85,7.25,7.31,7.13,8.06
0808CS151188,7.73,8.31,7.57,7.19,7.19,7.44,7.5,7.63
0808CS151189,6.42,5.46,5.98,3.58,6.56,6.5,6.44,6.94
0808CS161001,8.38,7.62,7.81,7.69,7.75,7.94,8,
0808CS161002,8.19,7.27,6.56,5.56,6.31,7.06,6.94,
0808CS161003,8.46,8.08,7.56,6.56,7.13,7.38,7.81,
0808CS161004,8.27,7.65,7.31,6.88,6.44,6.88,7.44,
0808CS161005,7.38,7.04,5.5,4.63,5.75,6.13,5.63,
0808CS161006,7.96,7.42,7.25,6.75,6.75,6.88,7.56,
0808CS161007,9.38,8.69,8.63,8.44,8.19,8.44,8.31,
0808CS161008,9.19,8.65,8.56,7.69,7.94,8.13,8.38,
0808CS161009,9.12,9.08,8.94,8.88,8.88,8.69,8.56,
0808CS161010,8.08,7.69,6.38,5.94,6.25,7.5,7.25,
0808CS161011,8.46,7.54,7.06,6.38,8.38,,,
0808CS161012,6.77,5.58,,,,,,
0808CS161014,8.23,7.81,7.81,7.56,7.81,7.88,8.38,
0808CS161015,7.85,7.58,7.44,7.13,7.06,7.19,7.25,
0808CS161016,7.42,6.54,7.06,6.38,7.31,7.38,7.44,
0808CS161017,7.81,6.65,6.75,6.13,6.88,,,
0808CS161018,7.42,6.12,5.88,6.19,5.94,6.38,6.94,
0808CS161019,7.15,7,6.81,6.25,5.94,6.81,7.31,
0808CS161020,5.77,5.81,6,5.75,6.06,6.5,7,
0808CS161021,8.5,8.15,7.5,7.38,7.94,8.13,8.31,
